,,,,,,,,,,,,,
,"1.2. Əhali və ərazi, ilin axırına",,,,,,,,,,,,
,,,,,,,,,,,,,
,İllər                                 ,"Əhali, 
min nəfər                   ","Ərazi, 
min km2                    ","Kənd 
təsərrüfatına 
yararlı 
torpaqlar, 
min ha *","Adam düşür, nəfər                                            ",,"Adambaşına 
kənd 
təsərrüfatına 
yararlı torpaq 
düşür, ha                                                 ","Əkin yeri, 
min ha                                ","o cümlədən 
adambaşına, 
ha                ","Dincə 
qoyulmuş 
torpaqlar, 
min ha","Çoxillik 
əkmələr, 
min ha ","Biçənək və 
örüş-otlaq 
sahələri, 
min ha ","Meşə ilə 
örtülü 
sahələr, 
min ha                                "
,,,,,"1 km2 
əraziyə                        ","100 ha kənd 
təsərrüfatına 
yararlı 
torpağa                               ",,,,,,,
,,,,,,,,,,,,,
,1990,7218.5,86.6,4382.9,83,165,0.61,1589.0,0.22,80.8,347.4,2365.7,1038.8
,1991,7324.1,86.6,4448.7,85,165,0.61,1615.8,0.22,82.6,328.9,2421.4,1038.8
,1992,7440.0,86.6,4446.2,86,167,0.60,1612.3,0.22,92.2,310.3,2431.4,1038.8
,1993,7549.6,86.6,4456.7,87,169,0.59,1620.4,0.22,95.5,310.5,2430.3,1038.8
,1994,7643.5,86.6,4486.0,88,170,0.59,1623.2,0.22,100.4,308.7,2453.7,1038.8
,1995,7726.2,86.6,4489.1,89,172,0.58,1628.4,0.22,97.9,309.5,2453.3,1038.3
,1996,7799.8,86.6,4526.2,90,172,0.58,1672.2,0.22,112.6,262.9,2478.5,1038.0
,1997,7876.7,86.6,4588.7,91,172,0.58,1695.7,0.22,101.8,264.5,2526.7,1037.2
,1998,7949.3,86.6,4682.1,92,170,0.59,1735.5,0.22,70.5,253.7,2622.4,1038.2
,1999,8032.8,86.6,4692.4,93,171,0.58,1761.6,0.22,63.3,236.9,2630.6,1037.9
,2000,8114.3,86.6,4740.4,94,171,0.58,1766.8,0.22,58.8,236.8,2678.0,1037.4
,2001,8191.4,86.6,4745.6,95,173,0.58,1775.9,0.22,59.8,227.0,2682.9,1037.6
,2002,8269.2,86.6,4744.9,95,174,0.57,1783.2,0.22,54.1,225.9,2681.7,1037.0
,2003,8349.1,86.6,4754.6,96,176,0.57,1785.6,0.21,53.0,225.7,2690.3,1037.8
,2004,8447.4,86.6,4754.9,98,178,0.56,1790.8,0.21,49.9,222.8,2691.4,1037.8
,2005,8553.1,86.6,4758.6,99,180,0.56,1797.6,0.21,45.6,221.5,2693.9,1037.8
,2006,8666.1,86.6,4756.0,100,182,0.55,1795.5,0.21,45.8,221.1,2693.6,1037.8
,2007,8779.9,86.6,4756.5,101,185,0.54,1808.4,0.21,45.6,224.7,2677.8,1038.8
,2008,8897.0,86.6,4756.7,103,187,0.53,1818.4,0.20,41.8,227.5,2669.0,1038.8
,2009,8997.6,86.6,4757.2,104,189,0.53,1832.5,0.20,41.5,227.0,2656.2,1039.9
,2010,9111.1,86.6,4766.8,105,191,0.52,1842.7,0.20,41.4,227.4,2655.3,1040.7
,2011,9235.1,86.6,4768.7,107,194,0.52,1843.8,0.20,41.9,227.2,2655.8,1040.8
,2012,9356.5,86.6,4768.3,108,196,0.51,1855.0,0.20,41.8,230.9,2640.6,1040.8
,2013,9477.1,86.6,4769.8,109,199,0.50,1884.3,0.20,41.0,230.3,2614.2,1040.2
,2014,9593.0,86.6,4769.7,111,201,0.50,1885.6,0.20,40.9,233.5,2609.7,1040.3
,2015,9705.6,86.6,4769.8,112,203,0.49,1897.5,0.20,40.2,237.0,2595.1,1040.3
,2016,9810.0,86.6,4772.9,113,206,0.49,1959.1,0.20,39.8,241.1,2532.9,1040.3
,2017,9898.1,86.6,4777.5,114,207,0.48,2054.7,0.21,39.8,246.8,2436.2,1040.3
,2018,9951.4,86.6,4779.5,115,208,0.48,2057.9,0.21,40.0,255.0,2426.6,1040.2
,2019,9974.0,86.6,4779.7,115,209,0.48,2056.5,0.21,39.5,260.3,2423.4,1040.3
,2020,10026.1,86.6,4780.1,116,210,0.48,2045.2,0.20,39.2,272.7,2423.0,1040.3
,2021,10063.3,86.6,4780.6,116,211,0.48,2049.8,0.20,39.2,274.1,2417.5,1040.7
,2022,10127.1,86.6,4780.5,117,212,0.47,2052.8,0.20,39.1,273.6,2415.0,1040.7
,2023,10180.8,86.6,4779.6,118,213,0.47,2037.4,0.20,54.3,273.5,2414.4,1040.7
,,,,,,,,,,,,,
,   * Azərbaycan Respublikasının İqtisadiyyat Nazirliyi yanında Əmlak Məsələləri Dövlət Xidmətinin məlumatları ,,,,,,,,,,,,
