Illər,Bruselyoz,Difteriya,Epidemik parotit,Göyöskürək,Məxmərək,Pedikulyoz,Qarayara,"Qarın yatalağı və paratif A,B,C ",Qoturluq,Qrip və yuxarı tənəffüs yollarının  kəskin infeksiyası,Qrip və yuxarı tənəffüs yollarının kəskin infeksiyası,Qızılça,Salmonelyoz infeksiyaları,Skarlatin,Suçiçəyi,Tetanus,Viruslu hepatitlər,Ümumi kəskin bağırsaq infeksiyaları,İlk dəfə diaqnoz qoyulmuş malyariya
2000,649.0,1.0127047045520956,3473.070784261412,5.569875875036526,110.38481279617842,1461.332888668674,1.0127047045520956,7.595285284140718,1436.0152710548716,4162.010392448324,327596.0,107.34669868252213,279.0,62.28133932995388,1034.9842080522417,1.5190570568281434,1205.6249507692698,3709.560903238785,774.7190989823532
2005,415.0,,153.30781117621086,1.0119327470376955,518.615532856819,576.2956994379676,2.529831867594239,5.565630108707325,639.0355297543048,4201.245778790735,352077.0,626.3863704163335,288.40083290574324,26.310251422980084,2611.7984201042923,,855.5891376203716,5322.766249418279,122.94982876508001
2007,475.0,2.0232477042892016,65.24973846332675,6.069743112867604,2.0232477042892016,338.89399046844125,8.598802743229106,2.529059630361502,350.0218528420319,4316.389631523887,371339.0,,213.45263280251075,21.749912821108914,3183.074450772986,1.0116238521446008,1124.4199116587238,6960.983726606997,53.616064163663836
2008,405.0,1.517204794402707,41.47026438034065,2.5286746573378447,,219.48896025692494,6.574554109078396,0.505734931467569,363.6234157251821,4453.346332511326,388265.0,2.5286746573378447,207.35132190170327,40.96452944887309,2519.5714285714284,3.034409588805414,1195.557377989333,6457.729339909388,35.401445202729825
2009,392.0,1.011328492290961,117.31410510575148,2.5283212307274026,,177.48815039706366,,1.5169927384364414,314.52316110248887,4459.2570774755595,393632.0,,180.01647162779105,93.5478855369139,3850.633234397834,0.5056642461454804,941.0411620767392,5934.981257009505,40.45313969163844
2010,364.0,,63.19955116797063,7.078349730812711,0.505596409343765,147.6341515283794,0.505596409343765,3.5391748654063555,258.35976517466395,3842.808054352328,343328.0,,152.18451921247328,72.80588294550216,3520.467798260636,1.5167892280312951,623.4003727208623,6851.33694301736,26.29101328587578
2011,426.0,,50.55229700323646,12.638074250809115,,104.64325479669947,1.0110459400647291,,233.55161215495244,4002.2975555334633,362332.0,,127.4,117.78685201754095,5281.703990898145,3.0331378201941877,394.3079166252444,6509.113762136727,4.044183760258917
2012,289.0,,64.19204544439017,9.09808518109467,,97.55169110840396,7.581737650912225,,215.3213492859072,4149.916083611238,380788.0,,205.21236575135757,101.08983534549633,4420.153050481827,3.5381442370923715,336.1237025237753,7037.3688875767275,1.516347530182445
2013,250.0,,39.924877377162034,2.0215127785904827,,68.2260562774288,5.559160141123828,,169.80707340160055,4305.567507099217,400280.0,51.54857585405731,340.1195249978487,95.01110059375269,5003.244127011445,2.5268909732381033,264.8181739953532,6810.476551071336,
2014,337.0,,5.5584167985470145,,,42.4460919161772,5.053106180497286,,113.69488906118895,4250.225701267113,400163.0,0.5053106180497287,260.23496829561026,119.25330585973596,7033.418492634173,4.547795562447558,219.81011885163196,7324.9827192488665,
2015,341.0,,3.536728667806095,,,49.0089543967416,4.547222572893551,,157.13180224109936,4174.234083972858,397777.0,,254.1392171294951,84.88148802734628,5883.6007623717105,4.041975620349823,166.22624738688646,7228.06290309057,
2016,425.0,,,,,32.33202556762883,5.0518789949420055,,92.4493856074387,4183.594782716244,403207.0,,374.3442335252026,80.83006391907209,7481.327603609616,6.567442693424607,161.15493993865,8022.383843967905,
2017,487.0,,,,,59.1,3.05,,84.85,3646.3,354928.0,,268.25,91.45,7998.35,3.55,188.4,8090.75,
2018,532.0,,,,,41.4,4.55,,131.3,3538.7,347494.0,26.25,300.0,76.25,8015.8,4.55,155.05,6658.1,
2019,551.0,,0.505,,1.515,50.0,17.15,,173.25,3394.7,337140.0,170.2,181.3,95.45,7330.05,5.55,181.3,6820.0,
2020,190.0,,,,1.515,9.1,1.515,,168.65,2291.2,229123.0,1.01,60.6,36.35,2679.0,4.55,104.05,3838.5,
2021,207.0,,,,0.505,11.6,4.55,,331.25,6358.0,638644.0,,16.15,11.1,1658.85,2.02,65.65,3373.25,
2022,230.0,,,,1.515,105.05,12.6,,775.1,4904.5,495119.0,0.505,43.45,61.1,14358.35,3.05,81.8,4764.75,
2023,277.0,,,1.5,,139.85,7.05,,1293.1,3357.6,340933.0,6668.55,38.9,370.1,21143.2,3.55,216.6,5266.35,
