Tarix,Həkimlərin sayı - cəmi,terapevtlər,cərrahlar,ginekoloqlar,pediatrlar,oftalmoloqlar,otorinolarinqoloqlar,nevropatoloqlar,psixiatorlar,ftiziatorlar,dermato-veneroloqlar,şüa diaqnostikası üzrə həkimlər,idman-müalicə həkimləri,stomatoloq və diş həkimləri,gigiyena-epidemioloqlar,digər
1991,27493,7841,2661,1428,4271,580,511,658,475,345,366,516,149,2509,1589,3594
1992,28131,8018,2752,1519,4289,587,517,697,464,332,382,540,149,2563,1559,3763
1993,28177,7876,2765,1520,3970,661,476,681,593,338,378,589,148,2391,1552,4239
1994,28827,7823,2739,1562,4265,624,504,691,591,338,378,491,150,2482,1422,4767
1995,28819,8048,2864,1616,4156,594,504,692,599,348,372,501,164,2466,1366,4529
1996,29217,7486,2917,1659,4268,657,504,706,591,332,386,482,155,2496,1372,5206
1997,29200,8054,3009,1706,4142,636,504,700,568,330,415,471,137,2484,1262,4782
1998,28873,7873,3070,1737,4146,620,482,696,598,315,430,450,132,2428,1201,4695
1999,28477,8033,3383,1760,4128,662,511,752,429,332,463,490,149,2279,1263,3843
2000,28485,8050,3362,1795,4149,679,514,758,431,321,466,483,124,2242,1303,3808
2001,29033,8231,3297,1809,4219,690,525,770,428,326,471,476,124,2234,1403,4030
2002,29084,8550,3365,1849,4211,712,513,1041,437,331,489,471,134,2255,1333,3393
2003,29481,8351,3437,1891,4228,727,422,821,440,324,488,484,124,2325,1299,4120
2004,29687,8279,3419,1922,4255,728,519,835,435,322,504,483,124,2275,1400,4187
2005,30051,8094,3445,1932,4287,751,525,854,436,336,516,484,125,2321,1407,4538
2006,30584,8093,3566,1940,4323,773,542,868,437,320,519,495,134,2393,1431,4750
2007,30766,8287,3624,1952,4423,779,533,876,444,329,519,487,150,2431,1446,4486
2008,32388,8528,3793,2073,4415,811,555,953,445,324,526,557,147,2522,1457,5282
2009,32503,8567,3862,2084,4485,774,568,956,454,336,551,562,157,2486,1417,5244
2010,32798,8504,3955,2113,4472,843,587,994,386,362,566,982,151,2457,1497,4852
2011,33085,8884,3908,2148,4073,863,583,984,352,329,551,1169,132,2467,1378,5175
2012,31441,8604,3905,2005,4021,874,531,948,354,309,547,1130,125,2401,1283,4325
2013,32335,8871,3868,1982,4000,888,540,962,343,295,540,1241,118,2461,1273,4872
2014,32434,8708,3771,1989,3992,912,523,959,336,283,537,1271,117,2452,1217,5293
2015,32756,8307,3640,1913,4029,896,518,969,322,270,527,1306,122,2601,1214,6044
2016,32458,8212,3493,1884,3882,900,505,986,311,284,528,1309,117,2641,1132,6183
2017,32189,8122,3445,1869,3652,911,518,987,315,268,516,1326,85,2762,1111,6229
2018,31869,8129,3358,1762,3585,889,505,963,316,261,506,1368,77,2892,1032,6155
2019,32485,7951,3362,1781,3577,897,508,985,321,248,510,1452,101,3011,933,6776
2020,31829,7801,3368,1786,3556,908,501,979,329,241,501,1481,86,3131,948,6142
2021,31815,7830,3359,1823,3347,894,492,967,318,228,488,1470,60,3239,883,6350
2022,31958,8127,3261,1768,3206,884,499,942,361,226,484,1487,48,3295,815,6489
2023,32787,8331,3377,1794,3168,894,523,956,373,219,492,1489,53,3481,796,6776
2024,33645,7981,3498,1877,3544,954,546,967,389,212,500,1581,57,3634,716,7122
